© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Insulin Secretion Signaling Pathway	6.68E00	9.68E-02	-3.411	ADCY3,AGO2,ATF4,EIF2B1,EIF4A3,EIF4G2,FURIN,FYN,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,JAK1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SEC61G,SLC2A3,SRC,STX1A,YES1,YKT6	
ILK Signaling	6.62E00	1.12E-01	-2.065	ACTB,ACTG1,ACTN1,ATF4,CASP3,GSK3B,ILK,IRS1,ITGB1,ITGB3,ITGB5,MAPK1,MYH9,MYL9,NCK2,PARVB,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RHOBTB1,VCL	
Remodeling of Epithelial Adherens Junctions	6.6E00	1.83E-01	NaN	ACTB,ACTG1,ACTN1,ARPC1B,CLIP1,DNM1,DNM3,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
CXCR4 Signaling	6.53E00	1.19E-01	-3.464	ADCY3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MYL9,PIK3CB,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2,SRC	
Cardiac Hypertrophy Signaling (Enhanced)	6.43E00	7.45E-02	-4.382	ADCY3,ATP2A2,ATP2A3,CALM3,DIAPH1,EIF2B1,FGF2,GNA13,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,HDAC5,IGF1R,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,ITPR1,ITPR2,MAP3K5,MAPK1,MAPKAPK2,MEF2C,PDE2A,PDE4D,PDE5A,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,ROCK2,TGFB1,TNFSF10	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	6.4E00	1.02E-01	-1.633	ACTB,ACTG1,ARPC1B,CLDN5,F11R,GSK3B,GUCY1A1,GUCY1B1,ILK,ITGA2,ITGA6,ITGB1,MAP3K5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,SMAD2,SRC,TGFB1	
Signaling by NOTCH4	6.39E00	1.28E-01	-0.471	ADAM10,MAML3,NEK4,PI4KA,PIK3CB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SPHK1,STK24,STK38,STK4,STK40	
Hedgehog 'off' state	6.31E00	1.4E-01	1.155	ADCY3,GNAS,GSK3B,PRKAR1B,PRKAR2B,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,TUBA1C,TUBA4A,TUBB1	
Inhibition of Angiogenesis by TSP1	6.29E00	2.73E-01	-2.236	CASP3,CD36,CD47,FYN,GUCY1A1,GUCY1B1,MAPK1,TGFB1,THBS1	
Smooth Muscle Contraction	6.22E00	2.33E-01	-3.162	GUCY1A1,GUCY1B1,ITGB5,MYL9,MYLK,PDE5A,TLN1,TPM1,TPM4,VCL	
Apelin Endothelial Signaling Pathway	6.21E00	1.24E-01	-2.714	ADCY3,CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,HDAC5,MAPK1,MEF2C,PIK3CB,PRKAB2,PRKCA,PRKCB,RAF1	
Orexin Signaling Pathway	6.2E00	9.92E-02	-4.264	ADCY3,ATP6V0E1,CALM3,CASP3,GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PI4KA,PIK3CB,PIP5K1C,PLA2G12A,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SLC8A3,SRC,TRPC6	
Glycation Signaling Pathway	6.2E00	1.02E-01	-2.294	ADAM10,APP,ATF4,BRAF,CASP3,CD36,DIAPH1,ERN1,FN3K,ICAM2,IRAK2,IRS1,JAK1,MAPK1,PFKP,PIK3CB,PRKCA,PRKCB,RAF1,SRC,TGFB1,TNFSF10,XBP1	
eNOS Signaling	6.17E00	1.18E-01	-3.606	ADCY3,CALM3,CASP3,CHRNA2,GNAQ,GNAS,GUCY1A1,GUCY1B1,HSP90B1,HSPA5,ITPR1,ITPR2,LPAR5,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
GP1b-IX-V activation signalling	6.16E00	5E-01	-2.449	GP1BA,GP5,GP9,RAF1,SRC,VWF	
Estrogen Receptor Signaling	6.12E00	8.03E-02	-3.780	ADCY3,ATF4,CDKN1A,DLG4,EGF,EIF2B1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,HSP90B1,IGF1R,JAK1,LEPR,MAPK1,MED12L,MED13,MYL9,NCOA2,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,ROCK2,SRC	
Semaphorin Neuronal Repulsive Signaling Pathway	6.12E00	1.22E-01	-0.243	ARHGEF12,FYN,GSK3B,GUCY1A1,GUCY1B1,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MYL9,PDE4D,PIK3CB,PIP5K1C,PRKAR1B,PRKAR2B,ROCK2	
Role of NFAT in Cardiac Hypertrophy	6.07E00	1E-01	-3.638	ADCY3,CALM3,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,HDAC5,IGF1R,ITPR1,ITPR2,MAPK1,MEF2C,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SLC8A3,SRC,TGFB1	
Fcgamma receptor (FCGR) dependent phagocytosis	6.05E00	1.16E-01	-4.000	ABI2,ACTB,ACTG1,ARPC1B,FYN,ITPR1,ITPR2,MAPK1,MYH9,MYO1C,MYO5A,NCKIPSD,PIK3CB,PLD3,SRC,VAV3,WIPF1,WIPF2,YES1	
