© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	9.12E-01	6.45E-02	-2.121	ADAM10,APP,CST3,CTSG,FSTL1,LAMB2,LTBP1,NUCB1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	9.12E-01	7.58E-02	NaN	CRKL,GSK3B,MAPK1,PIK3CB,PLAC8	
nNOS Signaling in Skeletal Muscle Cells	9.09E-01	8.33E-02	NaN	CALM1 (includes others),DAG1,ITPR1,ITPR2	
Endosomal Sorting Complex Required For Transport (ESCRT)	9.04E-01	9.68E-02	NaN	CHMP6,CHMP7,VPS37B	
Sonic Hedgehog Signaling	9.04E-01	9.68E-02	NaN	GSK3B,PRKAR1B,PRKAR2B	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	9.03E-01	5.7E-02	NaN	BMP6,CALM1 (includes others),GSK3B,IKBKE,IKBKG,IL1RN,ITGB3,MAP3K5,MAPK1,PIK3CB,SRC,TAB2,TGFB1	
IGF-1 Signaling	9E-01	6.67E-02	-2.449	IGF1R,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,YWHAH	
Phase II - Conjugation of compounds	8.92E-01	7.46E-02	-1.342	ABHD14B,COMT,MTR,PAPSS2,TPMT	
IL-17A Signaling in Airway Cells	8.92E-01	7.46E-02	0.000	GSK3B,IKBKE,IKBKG,MAPK1,PIK3CB	
Xenobiotic Metabolism Signaling	8.87E-01	5.44E-02	NaN	ABCC3,ALDH9A1,HDAC5,HS2ST1,MAP3K5,MAPK1,MGST1,NDST1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKCA,PRKCB,RAF1,SMOX	
TP53 Regulates Transcription of Cell Cycle Genes	8.85E-01	8.16E-02	-1.000	ARID3A,CDKN1A,CNOT6L,E2F1	
EIF2 Signaling	8.83E-01	5.65E-02	-1.000	ACTB,AGO2,ATF4,ATF5,EIF2B1,EIF4A3,EIF4G2,GSK3B,IGF1R,MAPK1,PIK3CB,RAF1,WARS1	
Signal regulatory protein family interactions	8.8E-01	1.25E-01	NaN	PTPN6,SRC	
Glutaryl-CoA Degradation	8.8E-01	1.25E-01	NaN	HADH,TBXAS1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	8.8E-01	1.25E-01	NaN	BPNT2,INPP5A	
Dopamine Degradation	8.74E-01	9.38E-02	NaN	ALDH9A1,COMT,SMOX	
ERBB4 Signaling	8.72E-01	7.35E-02	-2.236	MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
Agranulocyte Adhesion and Diapedesis	8.7E-01	5.71E-02	NaN	ACTB,ACTG1,CCR1,CLDN5,ICAM2,IL1RN,ITGB1,MYH9,MYL6,MYL9,PECAM1,SELP	
Post-translational protein phosphorylation	8.69E-01	6.54E-02	-2.646	ADAM10,APP,CST3,FSTL1,LAMB2,LTBP1,NUCB1	
PPAR Signaling	8.69E-01	6.54E-02	1.134	IKBKE,IKBKG,IL1RN,MAPK1,PDGFA,PDGFB,RAF1	
Netrin-1 signaling	8.62E-01	8E-02	-2.000	ABLIM3,FYN,SRC,TRPC6	
Signaling by FGFR1	8.62E-01	8E-02	-2.000	BRAF,FGF2,MAPK1,SRC	
ISGylation Signaling Pathway	8.54E-01	6.48E-02	1.134	HERC5,IFIH1,IRF7,ISG15,ITGB1,STAT2,UBA7	
S100 Family Signaling Pathway	8.47E-01	4.79E-02	-3.452	ADAM10,APP,ATF4,ATP2A2,BRAF,CALM1 (includes others),CCR1,CD36,CDKN1A,EGF,F2R,F2RL3,FCGR2A,GPR137,GSK3B,ILK,IRAK2,ITPR1,ITPR2,MAPK1,MYH9,OXTR,P2RY1,PIK3CB,PLA2G12A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,SMAD2,SRC,TBXA2R,TGFB1,TPM1,TPM4	
Activation of Matrix Metalloproteinases	8.45E-01	9.09E-02	NaN	CTSG,ELANE,FURIN	
Transcriptional regulation by RUNX2	8.39E-01	7.84E-02	-2.000	CDKN1A,MAPK1,SRC,YES1	
Transcriptional regulation of granulopoiesis	8.39E-01	7.84E-02	NaN	CDKN1A,E2F1,GATA2,TAL1	
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	8.37E-01	1.18E-01	NaN	IGF1R,PIK3CB	
Transcriptional regulation of pluripotent stem cells	8.37E-01	1.18E-01	NaN	PBX1,SMAD2	
Signaling by NTRK3 (TRKC)	8.37E-01	1.18E-01	NaN	PTPRS,SRC	
FOXO-mediated transcription of cell cycle genes	8.37E-01	1.18E-01	NaN	CDKN1A,SMAD2	
Dermatan Sulfate Degradation (Metazoa)	8.37E-01	1.18E-01	NaN	HYAL3,IDS	
Kinetochore Metaphase Signaling Pathway	8.25E-01	6.36E-02	1.633	ANAPC5,ARPP19,CENPT,MAD2L2,MXD3,PPP1R14A,PPP2R5A	
2-ketoglutarate Dehydrogenase Complex	8.24E-01	2.5E-01	NaN	DLST	
Heme Degradation	8.24E-01	2.5E-01	NaN	HMOX2	
Spermine and Spermidine Degradation I	8.24E-01	2.5E-01	NaN	SMOX	
Methylmalonyl Pathway	8.24E-01	2.5E-01	NaN	MMUT	
Methionine Salvage II (Mammalian)	8.24E-01	2.5E-01	NaN	MTR	
Proline Biosynthesis I	8.24E-01	2.5E-01	NaN	PYCR2	
Melatonin Degradation II	8.24E-01	2.5E-01	NaN	SMOX	
N-acetylglucosamine Degradation II	8.24E-01	2.5E-01	NaN	GNPDA1	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	8.24E-01	2.5E-01	NaN	ECI1	
B-WICH complex positively regulates rRNA expression	8.17E-01	7.69E-02	-2.000	ACTB,GSK3B,MYO1C,POLR2E	
Apoptotic execution phase	8.17E-01	7.69E-02	-2.000	DBNL,LMNA,SATB1,STK24	
Signaling by NOTCH2	8.17E-01	8.82E-02	NaN	ADAM10,MAML3,MIB1	
Oncogene Induced Senescence	8.17E-01	8.82E-02	NaN	CDKN2D,E2F1,MAPK1	
Late endosomal microautophagy	8.17E-01	8.82E-02	NaN	CHMP6,CHMP7,VPS37B	
Fatty Acid β-oxidation I	8.17E-01	8.82E-02	NaN	ECI1,HADH,SLC27A4	
Stearate Biosynthesis I (Animals)	8.16E-01	7.04E-02	-1.000	ACOT7,PPT1,SLC27A4,TBXAS1,TECR	
Ceramide Signaling	8.09E-01	6.59E-02	-1.342	PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,SPHK1	
BMP signaling pathway	8.09E-01	6.59E-02	-2.236	BMP6,MAGED1,MAPK1,PRKAR1B,PRKAR2B,RAF1	
Metabolism of Angiotensinogen to Angiotensins	7.97E-01	1.11E-01	NaN	AOPEP,CTSG	
Oxytocin in Spinal Neurons Signaling Pathway	7.9E-01	8.57E-02	NaN	GUCY1A1,GUCY1B1,OXTR	
Transcriptional Regulation by NPAS4	7.9E-01	8.57E-02	NaN	AGO2,MAGED1,MAPK1	
Senescence-Associated Secretory Phenotype (SASP)	7.81E-01	6.85E-02	-1.342	ANAPC5,CDKN1A,CDKN2D,MAPK1,RPS6KA1	
Signaling by FGFR2	7.81E-01	6.85E-02	-2.236	BRAF,FGF2,MAPK1,POLR2E,SRC	
Amyloid fiber formation	7.81E-01	6.85E-02	-2.236	ADAM10,APP,CST3,FURIN,TSPAN33	
Glioma Invasiveness Signaling	7.81E-01	6.85E-02	-2.000	F2R,ITGB3,MAPK1,PIK3CB,RHOBTB1	
Antioxidant Action of Vitamin C	7.69E-01	6.14E-02	1.342	IKBKE,IKBKG,MAPK1,PLA2G12A,PLD3,PRDX6,SLC2A3	
Striated Muscle Contraction	7.65E-01	8.33E-02	NaN	TNNC2,TPM1,TPM4	
TCF dependent signaling in response to WNT	7.64E-01	5.53E-02	0.905	CTNNBIP1,GSK3B,PPP2R5A,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,USP34	
GABA synthesis, release, reuptake and degradation	7.59E-01	1.05E-01	NaN	ABAT,STX1A	
Metabolism of cofactors	7.59E-01	1.05E-01	NaN	CALM1 (includes others),IDH1	
γ-linolenate Biosynthesis II (Animals)	7.59E-01	1.05E-01	NaN	CYB5R3,SLC27A4	
Mitochondrial L-carnitine Shuttle Pathway	7.59E-01	1.05E-01	NaN	CPT1A,SLC27A4	
Intrinsic Pathway for Apoptosis	7.56E-01	7.27E-02	-2.000	DYNLL2,E2F1,MAPK1,YWHAH	
E3 ubiquitin ligases ubiquitinate target proteins	7.56E-01	7.27E-02	-1.000	DERL1,HLA-A,HLA-B,RNF181	
Amino acids regulate mTORC1	7.56E-01	7.27E-02	-1.000	ATP6V0E1,LAMTOR1,NPRL3,SEC13	
Lymphotoxin β Receptor Signaling	7.56E-01	7.27E-02	-1.000	IKBKE,IKBKG,MAPK1,PIK3CB	
Amyotrophic Lateral Sclerosis Signaling	7.43E-01	6.03E-02	-1.134	CAPN1,CAPN11,CAPN2,CAPNS1,GPX1,PIK3CB,SSR4	
Transmission across Electrical Synapses	7.35E-01	2E-01	NaN	PANX1	
Signaling by MST1	7.35E-01	2E-01	NaN	SPINT2	
Reelin signalling pathway	7.35E-01	2E-01	NaN	FYN	
Proline Biosynthesis II (from Arginine)	7.35E-01	2E-01	NaN	PYCR2	
Superpathway of Serine and Glycine Biosynthesis I	7.35E-01	2E-01	NaN	UBAC2	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	7.35E-01	2E-01	NaN	MTHFD2L	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	7.35E-01	2E-01	NaN	NANS	
Myo-inositol Biosynthesis	7.35E-01	2E-01	NaN	BPNT2	
2-oxobutanoate Degradation I	7.35E-01	2E-01	NaN	MMUT	
Trans, trans-farnesyl Diphosphate Biosynthesis	7.35E-01	2E-01	NaN	IDI1	
Citrulline-Nitric Oxide Cycle	7.35E-01	2E-01	NaN	ASL	
Tyrosine Degradation I	7.35E-01	2E-01	NaN	FAH	
Glutamate Degradation III (via 4-aminobutyrate)	7.35E-01	2E-01	NaN	ABAT	
Aryl Hydrocarbon Receptor Signaling	7.33E-01	5.66E-02	-1.134	ALDH9A1,CCND3,CDKN1A,E2F1,MAPK1,MGST1,NFIB,SRC,TGFB1	
Valine Degradation I	7.25E-01	1E-01	NaN	ABAT,ACAD8	
Inflammasome pathway	7.25E-01	1E-01	NaN	PANX1,PYCARD	
Adipogenesis pathway	7.19E-01	5.76E-02	0.707	DGKD,FGF2,HDAC5,RPS6KA1,SENP2,SIN3B,TGFB1,XBP1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	7.18E-01	5.93E-02	NaN	CTSG,ELANE,FGF2,MPO,TGFB1,TNFSF10,TNFSF13B	
CD27 Signaling in Lymphocytes	7.18E-01	7.02E-02	-1.000	IKBKE,IKBKG,MAP3K5,SIVA1	
CNTF Signaling	7.18E-01	7.02E-02	-1.000	MAPK1,PIK3CB,RAF1,RPS6KA1	
Role of IL-17A in Arthritis	7.18E-01	7.02E-02	NaN	MAPK1,MAPKAPK2,PIK3CB,RPS6KA1	
Notch Signaling	7.17E-01	7.89E-02	NaN	FURIN,MAML3,MFNG	
Signaling by NOTCH1	7E-01	6.41E-02	-2.236	ADAM10,ARRB1,HDAC5,MAML3,MIB1	
Toll-like Receptor Signaling	7E-01	6.41E-02	-1.000	IKBKG,IL1RN,IRAK2,MAPK1,TAB2	
IL-7 Signaling Pathway	7E-01	6.41E-02	-1.342	CCND3,FYN,GSK3B,MAPK1,PIK3CB	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	6.96E-01	5.67E-02	0.000	CAPN2,CEBPG,IL1RN,ITGB1,MAPK1,MLKL,PRKAB2,PYCARD	
Synaptic adhesion-like molecules	6.92E-01	9.52E-02	NaN	DLG4,PTPRS	
Thyroid Cancer Signaling	6.84E-01	6.33E-02	-1.342	BRAF,GSK3B,MAPK1,PDK1,PIK3CB	
Metabolism of water-soluble vitamins and cofactors	6.82E-01	6.78E-02	-1.000	CYB5R3,MMUT,MTR,SLC2A3	
3-phosphoinositide Biosynthesis	6.8E-01	5.29E-02	-1.667	PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
Synthesis of Lipoxins (LX)	6.65E-01	1.67E-01	NaN	ALOX12	
Arginine Biosynthesis IV	6.65E-01	1.67E-01	NaN	ASL	
Glycerol Degradation I	6.65E-01	1.67E-01	NaN	GPD2	
Visual phototransduction	6.64E-01	6.67E-02	-2.000	CALM1 (includes others),GNB5,PRKCA,RGS9	
SPINK1 Pancreatic Cancer Pathway	6.64E-01	6.67E-02	1.000	CTSA,ELANE,SMAD2,TGFB1	
Interconversion of nucleotide di- and triphosphates	6.62E-01	9.09E-02	NaN	AK2,CMPK1	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	6.62E-01	9.09E-02	NaN	BPNT2,INPP5A	
Putrescine Degradation III	6.62E-01	9.09E-02	NaN	ALDH9A1,SMOX	
G alpha (s) signalling events	6.53E-01	5.52E-02	-2.828	ARRB1,GNAS,GNAZ,GNB5,GRK5,PDE2A,PTGIR,SRC	
NCAM signaling for neurite out-growth	6.48E-01	6.56E-02	-2.000	COL6A3,FYN,MAPK1,SRC	
LPS/IL-1 Mediated Inhibition of RXR Function	6.44E-01	5.06E-02	2.000	ABCC3,ABCC4,ALDH9A1,CPT1A,CRAT,HS2ST1,IL1RN,MGST1,NDST1,PAPSS2,PLTP,SLC27A4,SMOX	
Estrogen-Dependent Breast Cancer Signaling	6.41E-01	6.1E-02	-2.236	ATF4,IGF1R,MAPK1,PIK3CB,SRC	
Tryptophan Degradation III (Eukaryotic)	6.33E-01	8.7E-02	NaN	HADH,TBXAS1	
Vitamin-C Transport	6.33E-01	8.7E-02	NaN	SLC2A3,STOM	
Superpathway of Inositol Phosphate Compounds	6.32E-01	5.08E-02	-1.897	INPP5A,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPN6,PTPRJ,SSH1	
Formation of WDR5-containing histone-modifying complexes	6.31E-01	7.14E-02	NaN	KANSL2,KANSL3,KMT2C	
April Mediated Signaling	6.31E-01	7.14E-02	NaN	IKBKE,IKBKG,MAPK1	
Glucocorticoid Receptor Signaling	6.31E-01	4.64E-02	NaN	ACTB,CDKN1A,EGF,H3-3A/H3-3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSPA2,IKBKE,IKBKG,IL1RN,MAPK1,PIK3CB,PLA2G12A,POLR2E,PRKAB2,RAF1,SDHA,SERPINE1,SMAD2,SRC,TAF3,TGFB1,TSC22D3,YWHAH	
Transport of inorganic cations/anions and amino acids/oligopeptides	6.3E-01	5.77E-02	-2.449	CALM1 (includes others),CTNS,SLC24A3,SLC6A6,SLC8A3,SLC9A1	
Transport of bile salts and organic acids, metal ions and amine compounds	6.27E-01	6.02E-02	-2.236	SLC30A5,SLC39A3,SLC39A4,SLC44A2,SLC6A6	
Transcriptional regulation of white adipocyte differentiation	6.14E-01	5.95E-02	-1.342	CCND3,CD36,MED12,SREBF2,TGFB1	
PEDF Signaling	6.14E-01	5.95E-02	-1.342	IKBKE,IKBKG,MAPK1,PIK3CB,RAF1	
Oncostatin M Signaling	6.11E-01	6.98E-02	NaN	MAPK1,MT2A,RAF1	
Urea Cycle	6.06E-01	1.43E-01	NaN	ASL	
Arginine Degradation VI (Arginase 2 Pathway)	6.06E-01	1.43E-01	NaN	PYCR2	
Glycoaminoglycan-protein Linkage Region Biosynthesis	6.06E-01	1.43E-01	NaN	XYLT2	
Aspartate Degradation II	6.06E-01	1.43E-01	NaN	MDH1	
Other interleukin signaling	6.06E-01	8.33E-02	NaN	STX1A,TXLNA	
WNK Renal Signaling Pathway	6.06E-01	5.66E-02	-2.000	AMFR,ANAPC5,CALM1 (includes others),PIK3CB,PRKCA,PRKCB	
IL-6 Signaling	5.93E-01	5.43E-02	-1.134	IKBKE,IKBKG,IL1RN,MAPK1,MAPKAPK2,PIK3CB,RAF1	
ERB2-ERBB3 Signaling	5.85E-01	6.15E-02	-1.000	GSK3B,MAPK1,PIK3CB,RAF1	
Cholesterol biosynthesis	5.8E-01	8E-02	NaN	IDI1,SREBF2	
Signaling by NTRK2 (TRKB)	5.8E-01	8E-02	NaN	FYN,SRC	
Signaling by Erythropoietin	5.8E-01	8E-02	NaN	CRKL,PIK3CB	
Arachidonic acid metabolism	5.75E-01	6.67E-02	NaN	ALOX12,GPX1,MAPKAPK2	
Factors Promoting Cardiogenesis in Vertebrates	5.75E-01	5.23E-02	-2.121	ATF4,BMP6,GSK3B,MEF2C,PRKCA,PRKCB,SMAD2,TGFB1	
Glutamate Receptor Signaling	5.71E-01	6.06E-02	NaN	CALM1 (includes others),DLG4,GNB5,HOMER2	
Cytosolic sensors of pathogen-associated DNA	5.57E-01	6.52E-02	NaN	IKBKG,IRF7,TRIM21	
Fertilization	5.56E-01	7.69E-02	NaN	B4GALT1,CD9	
Signaling by BMP	5.56E-01	7.69E-02	NaN	FSTL1,SKI	
Estrogen-mediated S-phase Entry	5.56E-01	7.69E-02	NaN	CDKN1A,E2F1	
TRAIL signaling	5.56E-01	1.25E-01	NaN	TNFSF10	
Miro GTPase Cycle	5.56E-01	1.25E-01	NaN	MFN2	
Histidine Degradation III	5.56E-01	1.25E-01	NaN	MTHFD2L	
O-linked glycosylation	5.5E-01	5.41E-02	-2.449	B4GALT6,DAG1,GALNT10,GALNT2,ST6GAL1,THBS1	
CDX Gastrointestinal Cancer Signaling Pathway	5.43E-01	4.95E-02	-0.632	BMP6,BRAF,GSK3B,IKBKE,IKBKG,MAPK1,PIK3CB,TGFB1,TNFSF10,TNFSF13B	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	5.43E-01	4.95E-02	-1.897	CD300E,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ICAM2,ITGB1,SLAMF7,TREML1	
Immunogenic Cell Death Signaling Pathway	5.39E-01	5.56E-02	-0.447	ATF4,HSPA2,MLKL,PANX1,PYCARD	
Heparan Sulfate Biosynthesis	5.39E-01	5.56E-02	-2.236	EXT2,HS2ST1,NDST1,PRDX6,XYLT2	
BMAL1:CLOCK,NPAS2 activates circadian gene expression	5.34E-01	7.41E-02	NaN	BHLHE40,SERPINE1	
ATF4 activates genes in response to endoplasmic reticulum stress	5.34E-01	7.41E-02	NaN	ATF4,CEBPG	
Fatty acyl-CoA biosynthesis	5.34E-01	7.41E-02	NaN	HACD4,TECR	
Gluconeogenesis I	5.34E-01	7.41E-02	NaN	ENO2,MDH1	
Apelin Liver Signaling Pathway	5.34E-01	7.41E-02	NaN	COL10A1,GSK3B	
SPINK1 General Cancer Pathway	5.29E-01	5.8E-02	-2.000	MAPK1,MT2A,PIK3CB,RAF1	
Acute Myeloid Leukemia Signaling	5.27E-01	5.49E-02	-2.000	BRAF,IDH1,MAPK1,PIK3CB,RAF1	
Interleukin-1 processing	5.14E-01	1.11E-01	NaN	CTSG	
RHO GTPases Activate Rhotekin and Rhophilins	5.14E-01	1.11E-01	NaN	TAX1BP3	
Urea cycle	5.14E-01	1.11E-01	NaN	SLC25A15	
Lysine catabolism	5.14E-01	1.11E-01	NaN	DLST	
Lipophagy	5.14E-01	1.11E-01	NaN	PRKAB2	
Pathogenesis of Multiple Sclerosis	5.14E-01	1.11E-01	NaN	CCR1	
RNA Polymerase I Transcription	4.93E-01	6E-02	NaN	CHD3,GATAD2A,POLR2E	
NR1H2 and NR1H3-mediated signaling	4.93E-01	6E-02	NaN	AGO2,KDM1B,PLTP	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.81E-01	4.88E-02	-2.121	FGF2,GSK3B,IGF1R,MAPK1,PIK3CB,SMAD2,TGFB1,TRIM24	
Serotonin Degradation	4.79E-01	5.48E-02	-1.000	AKR1A1,ALDH9A1,EXT2,SMOX	
Caspase activation via Dependence Receptors in the absence of ligand	4.76E-01	1E-01	NaN	MAGED1	
mRNA Editing	4.76E-01	1E-01	NaN	ADARB1	
Nucleotide catabolism	4.72E-01	6.67E-02	NaN	ENTPD7,NT5M	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	4.72E-01	6.67E-02	NaN	PLXNA4,SMAD2	
Role of p14/p19ARF in Tumor Suppression	4.72E-01	6.67E-02	NaN	E2F1,PIK3CB	
Macrophage Classical Activation Signaling Pathway	4.68E-01	4.76E-02	0.707	GBP4,IKBKG,JARID2,PKM,SDHA,STAT2,TGFB1,TNFSF10,TNFSF13B	
Xenobiotic Metabolism General Signaling Pathway	4.63E-01	4.9E-02	-1.890	MAP3K5,MAPK1,MGST1,PIK3CB,PRKCA,PRKCB,RAF1	
Cellular response to heat stress	4.63E-01	5.15E-02	-2.000	GSK3B,HSPA2,MAPK1,MAPKAPK2,SEC13	
Toll-like Receptor Cascades	4.54E-01	6.45E-02	NaN	CD36,DNM1	
Methylglyoxal Degradation III	4.54E-01	6.45E-02	NaN	AKR1A1,AKR7A2	
DNA Methylation and Transcriptional Repression Signaling	4.53E-01	5.1E-02	-2.236	CDK12,CHD3,E2F1,GATAD2A,MECP2	
UVA-Induced MAPK Signaling	4.53E-01	5.1E-02	-1.000	MAPK1,PARP10,PIK3CB,PRKCA,RPS6KA1	
Spliceosomal Cycle	4.51E-01	5.66E-02	NaN	CTNNBL1,DHX16,EIF4A3	
Angiopoietin Signaling	4.45E-01	5.26E-02	NaN	DOK2,IKBKE,IKBKG,PIK3CB	
Erythrocytes take up carbon dioxide and release oxygen	4.43E-01	9.09E-02	NaN	CYB5R1	
Signaling by Leptin	4.43E-01	9.09E-02	NaN	LEPR	
Processing and activation of SUMO	4.43E-01	9.09E-02	NaN	SENP2	
Metallothioneins bind metals	4.43E-01	9.09E-02	NaN	MT2A	
Phenylalanine and tyrosine metabolism	4.43E-01	9.09E-02	NaN	FAH	
Glycogen Degradation II	4.43E-01	9.09E-02	NaN	PYGB	
RIPK1-mediated regulated necrosis	4.36E-01	6.25E-02	NaN	MLKL,TNFSF10	
TNFR2 Signaling	4.36E-01	6.25E-02	NaN	IKBKE,IKBKG	
Regulation of the Epithelial-Mesenchymal Transition Pathway	4.26E-01	4.62E-02	NaN	BRAF,EGF,FGF2,GSK3B,MAPK1,PIK3CB,RAF1,SMAD2,TGFB1	
Deadenylation-dependent mRNA decay	4.25E-01	5.45E-02	NaN	CNOT6L,EDC4,EIF4A3	
VDR/RXR Activation	4.23E-01	5.13E-02	1.000	CDKN1A,PDGFA,PRKCA,PRKCB	
Airway Inflammation in Asthma	4.19E-01	6.06E-02	NaN	ELANE,TGFB1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	4.19E-01	4.51E-02	0.905	CTSA,CTSG,GSK3B,IGF1R,MAPK1,PIK3CB,SRC,STAT2,TGFB1,TNFSF10,TNFSF13B	
Vitamin D (calciferol) metabolism	4.13E-01	8.33E-02	NaN	LDLRAP1	
SUMOylation of chromatin organization proteins	4.12E-01	5.36E-02	NaN	CHD3,SATB1,SEC13	
Sumoylation Pathway	4.07E-01	4.85E-02	NaN	ARHGDIA,ISG20,MAP3K5,RHOBTB1,SENP2	
Cargo concentration in the ER	4.03E-01	5.88E-02	NaN	F8,STX5	
Transcriptional Regulation by E2F6	4.03E-01	5.88E-02	NaN	E2F1,MAX	
Triglyceride metabolism	4.03E-01	5.88E-02	NaN	GPD2,MGLL	
Role of BRCA1 in DNA Damage Response	4.03E-01	5E-02	NaN	ACTB,BRCC3,CDKN1A,E2F1	
Iron uptake and transport	3.89E-01	5.17E-02	NaN	ATP6AP1,ATP6V0E1,HMOX2	
MSP-RON Signaling Pathway	3.89E-01	5.17E-02	NaN	ACTB,ACTG1,PIK3CB	
Triacylglycerol Degradation	3.89E-01	5.17E-02	NaN	MGLL,NDST1,PRDX6	
IL-9 Signaling	3.88E-01	5.71E-02	NaN	CISH,PIK3CB	
Ethanol Degradation II	3.88E-01	5.71E-02	NaN	AKR1A1,ALDH9A1	
Nucleotide Excision Repair Pathway	3.88E-01	5.71E-02	NaN	POLR2E,XPC	
Mitochondrial iron-sulfur cluster biogenesis	3.87E-01	7.69E-02	NaN	SLC25A28	
Metabolism of folate and pterines	3.87E-01	7.69E-02	NaN	MTHFD2L	
Cytosolic iron-sulfur cluster assembly	3.87E-01	7.69E-02	NaN	NUBP1	
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	3.87E-01	7.69E-02	NaN	FGF2	
Processing of SMDT1	3.87E-01	7.69E-02	NaN	MICU1	
Cleavage and Polyadenylation of Pre-mRNA	3.87E-01	7.69E-02	NaN	CSTF2	
Glycogen Degradation III	3.87E-01	7.69E-02	NaN	PYGB	
NAD Phosphorylation and Dephosphorylation	3.87E-01	7.69E-02	NaN	NNT	
Guanosine Nucleotides Degradation III	3.87E-01	7.69E-02	NaN	NT5M	
UDP-N-acetyl-D-galactosamine Biosynthesis II	3.87E-01	7.69E-02	NaN	GNPDA1	
Heparan Sulfate Biosynthesis (Late Stages)	3.74E-01	4.82E-02	-2.000	EXT2,HS2ST1,NDST1,PRDX6	
MIF-mediated Glucocorticoid Regulation	3.74E-01	5.56E-02	NaN	MAPK1,PLA2G12A	
Acetylcholine binding and downstream events	3.62E-01	7.14E-02	NaN	CHRNA2	
Glutamate and glutamine metabolism	3.62E-01	7.14E-02	NaN	PYCR2	
Formation of axial mesoderm	3.62E-01	7.14E-02	NaN	SMAD2	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	3.62E-01	7.14E-02	NaN	NT5M	
Mevalonate Pathway I	3.62E-01	7.14E-02	NaN	IDI1	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	3.62E-01	7.14E-02	NaN	SMOX	
Detoxification of Reactive Oxygen Species	3.6E-01	5.41E-02	NaN	GPX1,PRDX6	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	3.6E-01	5.41E-02	NaN	CHD3,GATAD2A	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	3.6E-01	5.41E-02	NaN	ARF1,PSME2	
TWEAK Signaling	3.6E-01	5.41E-02	NaN	IKBKE,IKBKG	
Primary Immunodeficiency Signaling	3.56E-01	4.92E-02	NaN	IKBKG,RFX5,RFXANK	
Chondroitin Sulfate Biosynthesis	3.56E-01	4.92E-02	NaN	HS2ST1,NDST1,XYLT2	
Interleukin-4 and Interleukin-13 signaling	3.49E-01	4.55E-02	-2.236	CD36,CDKN1A,FGF2,ITGB1,TGFB1	
TEC Kinase Signaling	3.49E-01	4.15E-02	-2.496	ACTB,ACTG1,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,HCK,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,PIK3CB,PRKCA,PRKCB,RHOBTB1,SRC,STAT2,TNFSF10,VAV3,YES1	
Resolution of Abasic Sites (AP sites)	3.46E-01	5.26E-02	NaN	ADPRS,POLD3	
IL-2 Signaling	3.46E-01	4.84E-02	NaN	MAPK1,PIK3CB,RAF1	
YAP1- and WWTR1 (TAZ)-stimulated gene expression	3.4E-01	6.67E-02	NaN	HIPK2	
Mismatch Repair	3.4E-01	6.67E-02	NaN	POLD3	
Fatty Acid Activation	3.4E-01	6.67E-02	NaN	SLC27A4	
Choline Biosynthesis III	3.4E-01	6.67E-02	NaN	PLD3	
Dermatan Sulfate Biosynthesis	3.36E-01	4.76E-02	NaN	HS2ST1,NDST1,XYLT2	
Superpathway of Methionine Degradation	3.34E-01	5.13E-02	NaN	MMUT,MTR	
